VESSEL,CRUISE,YEAR,HAUL,STRATUM,STATIONID,LATITUDE,LONGITUDE,SPECIES_CODE,CPUE_KGHA,CPUE_NOHA,AREA_FISHED
19,198201,1982,1,10,J-15,58.00667,-158.92433,10130,0,0,3.4516212
19,198201,1982,2,10,I-15,57.68067,-159.01867,10130,0,0,5.62415
19,198201,1982,3,10,H-15,57.33917,-159.08733,10130,0,0,4.7917758
19,198201,1982,5,10,G-15,57.00467,-159.09633,10130,0,0,4.01725
19,198201,1982,6,31,F-13,56.67067,-160.34967,10130,1.6421392365,7.797167818,3.5910475
19,198201,1982,7,31,G-13,56.98200,-160.33467,10130,0.3506038093,3.435187354,4.657679
19,198201,1982,8,31,H-13,57.31517,-160.29783,10130,0.6633627541,2.2502128701,4.444024
19,198201,1982,9,31,I-13,57.64467,-160.26067,10130,0.4332752736,3.2476541669,5.2345475
19,198201,1982,10,10,J-13,57.98600,-160.20333,10130,0,0,5.3268735
19,198201,1982,12,10,E-11,56.31817,-161.63650,10130,16.004028807,74.722165634,4.5234235
19,198201,1982,13,31,F-11,56.65617,-161.58117,10130,10.501259078,46.871820683,4.565643
19,198201,1982,14,31,G-11,56.98617,-161.58350,10130,3.8653221195,12.002242259,4.9990659
19,198201,1982,16,31,H-11,57.33217,-161.57967,10130,2.4537644904,3.1696923317,4.7323205
19,198201,1982,17,10,I-11,57.65217,-161.48283,10130,6.869091018,42.22941429,4.4045129
19,198201,1982,18,10,J-11,57.97917,-161.47933,10130,0.239992553,2.6445460381,4.5376408
19,198201,1982,19,10,K-11,58.26650,-161.40200,10130,0,0,4.047546
19,198201,1982,20,10,L-09,58.66567,-162.70183,10130,0,0,4.398683
19,198201,1982,21,10,K-09,58.35450,-162.71867,10130,0,0,3.778001
19,198201,1982,22,10,J-09,58.02750,-162.74850,10130,0.8872839825,1.5045997765,4.6524
19,198201,1982,23,10,I-09,57.70000,-162.75333,10130,1.0407016378,1.8113159428,4.9687632
19,198201,1982,24,10,H-09,57.34417,-162.76700,10130,3.7743514222,11.01598372,5.0835224
19,198201,1982,25,31,G-09,57.01783,-162.78150,10130,3.3098814855,12.574127833,4.8512311
19,198201,1982,26,31,F-09,56.68867,-162.78600,10130,15.098369168,71.163596594,4.7917758
19,198201,1982,27,31,E-09,56.35433,-162.79800,10130,10.529746804,46.172694272,5.479429
19,198201,1982,28,31,D-09,56.02083,-162.80550,10130,8.404242068,53.234837793,4.808881
19,198201,1982,29,10,C-09,55.70167,-162.82467,10130,23.444287571,114.96047133,4.3145265
19,198201,1982,30,31,B-07,55.33983,-163.98083,10130,10.676640987,40.851110065,5.6546811
19,198201,1982,31,31,C-07,55.64600,-164.00750,10130,20.686158826,96.710029657,4.2911785
19,198201,1982,33,31,D-07,56.00133,-164.00817,10130,2.4514206191,11.020478274,4.7184885
19,198201,1982,34,31,E-07,56.31450,-163.99800,10130,3.411835707,17.220496984,5.052119
19,198201,1982,35,31,F-07,56.66500,-164.00000,10130,5.2283422145,29.95092405,5.509012
19,198201,1982,36,31,G-07,57.00100,-163.99417,10130,12.404064436,74.442997364,5.265774
19,198201,1982,37,31,H-07,57.31867,-163.99383,10130,2.9669982236,18.270249058,4.4334371
19,198201,1982,38,10,I-07,57.65017,-163.99200,10130,0.0928334573,6.1433905582,4.3949672
19,198201,1982,39,10,J-07,57.98117,-164.00067,10130,0.1291846522,1.0947851878,4.567106
19,198201,1982,41,10,K-07,58.33267,-163.99517,10130,0,0,4.7671592
19,198201,1982,42,10,L-07,58.66917,-163.99000,10130,0,0,5.3130408
19,198201,1982,43,10,M-07,58.99050,-163.99483,10130,0,0,4.236956
19,198201,1982,44,10,N-07,59.31000,-163.99667,10130,0,0,3.778001
19,198201,1982,45,20,N-05,59.33483,-165.27483,10130,0,0,4.317091
19,198201,1982,46,10,M-05,59.01550,-165.29883,10130,0.0607303088,1.3396391637,4.478818
19,198201,1982,47,10,L-05,58.68183,-165.29967,10130,0.4333536117,4.8834556929,4.7097796
19,198201,1982,48,10,K-05,58.34900,-165.28883,10130,0.184527187,1.270848395,3.9343796
